iter	Passed	Remaining
668	3740	1850
669	3745	1844
670	3749	1838
671	3754	1832
672	3759	1826
673	3763	1820
674	3768	1814
675	3772	1808
676	3777	1802
677	3781	1796
678	3786	1790
679	3797	1786
680	3811	1785
681	3816	1779
682	3821	1773
683	3825	1767
684	3830	1761
685	3834	1755
686	3839	1749
687	3858	1749
688	3863	1743
689	3868	1737
690	3872	1731
691	3878	1726
692	3883	1720
693	3887	1714
694	3892	1708
695	3897	1702
696	3901	1696
697	3906	1690
698	3911	1684
699	3916	1678
700	3921	1672
701	3926	1666
702	3930	1660
703	3935	1654
704	3940	1648
705	3944	1642
706	3949	1636
707	3953	1630
708	3958	1624
709	3979	1625
710	3984	1619
711	3989	1613
712	3994	1607
713	3998	1601
714	4003	1595
715	4007	1589
716	4012	1583
717	4017	1577
718	4022	1571
719	4041	1571
720	4046	1565
721	4050	1559
722	4055	1553
723	4060	1547
724	4064	1541
725	4069	1535
726	4073	1529
727	4078	1523
728	4083	1517
729	4087	1511
730	4092	1505
731	4096	1499
732	4102	1494
733	4107	1488
734	4111	1482
735	4116	1476
736	4121	1470
737	4125	1464
738	4130	1458
739	4134	1452
740	4139	1446
741	4148	1442
742	4152	1436
743	4157	1430
744	4162	1424
745	4166	1418
746	4171	1412
747	4179	1408
748	4184	1402
749	4188	1396
750	4193	1390
751	4210	1388
752	4214	1382
753	4219	1376
754	4223	1370
755	4228	1364
756	4233	1358
757	4241	1354
758	4246	1348
759	4257	1344
760	4262	1338
761	4267	1332
762	4273	1327
763	4277	1321
764	4282	1315
765	4287	1309
766	4292	1303
767	4296	1298
768	4301	1292
769	4306	1286
770	4311	1280
771	4316	1274
772	4335	1273
773	4340	1267
774	4344	1261
775	4349	1255
776	4353	1249
777	4358	1243
778	4363	1237
779	4367	1231
780	4372	1226
781	4381	1221
782	4385	1215
783	4390	1209
784	4394	1203
785	4399	1197
786	4403	1191
787	4408	1186
788	4413	1180
789	4417	1174
790	4427	1169
791	4431	1163
792	4436	1158
793	4441	1152
794	4445	1146
795	4450	1140
796	4455	1134
797	4460	1129
798	4464	1123
799	4473	1118
800	4477	1112
801	4482	1106
802	4486	1100
803	4491	1094
804	4495	1089
805	4500	1083
806	4519	1080
807	4524	1075
808	4528	1069
809	4533	1063
810	4551	1060
811	4556	1054
812	4562	1049
813	4567	1043
814	4571	1037
815	4575	1031
816	4580	1026
817	4585	1020
818	4589	1014
819	4594	1008
820	4599	1002
821	4603	996
822	4608	991
823	4612	985
824	4617	979
825	4621	973
826	4626	967
827	4630	961
828	4642	957
829	4646	951
830	4651	945
831	4655	940
832	4672	936
833	4688	933
834	4693	927
835	4697	921
836	4702	915
837	4706	909
838	4711	904
839	4715	898
840	4719	892
841	4724	886
842	4734	881
843	4749	877
844	4754	872
845	4758	866
846	4763	860
847	4780	856
848	4785	851
849	4789	845
850	4794	839
851	4799	833
852	4803	827
853	4808	821
854	4812	816
855	4817	810
856	4822	804
857	4826	798
858	4831	793
859	4841	788
860	4846	782
861	4856	777
862	4861	771
863	4866	765
864	4870	760
865	4875	754
866	4879	748
867	4884	742
868	4888	736
869	4893	731
870	4903	726
871	4907	720
872	4912	714
873	4919	709
874	4923	703
875	4928	697
876	4932	691
877	4937	686
878	4941	680
879	4946	674
880	4950	668
881	4955	663
882	4960	657
883	4965	651
884	4970	645
885	4975	640
886	4980	634
887	4984	628
888	4989	623
889	4994	617
890	4998	611
891	5003	605
892	5008	600
893	5013	594
894	5018	588
895	5023	583
896	5028	577
897	5032	571
898	5037	565
899	5042	560
900	5047	554
901	5051	548
902	5056	543
903	5061	537
904	5065	531
905	5070	526
906	5075	520
907	5080	514
908	5084	509
909	5089	503
910	5094	497
911	5098	492
912	5103	486
913	5108	480
914	5112	474
915	5117	469
916	5121	463
917	5126	457
918	5130	452
919	5148	447
920	5153	442
921	5157	436
922	5162	430
923	5179	425
924	5183	420
925	5188	414
926	5194	409
927	5199	403
928	5203	397
929	5208	392
930	5212	386
931	5217	380
932	5221	374
933	5226	369
934	5230	363
935	5235	357
936	5239	352
937	5244	346
938	5256	341
939	5260	335
940	5264	330
941	5269	324
942	5286	319
943	5291	313
944	5295	308
945	5302	302
946	5307	297
947	5311	291
948	5316	285
949	5321	280
950	5326	274
951	5331	268
952	5336	263
953	5348	257
954	5353	252
955	5357	246
956	5362	240
957	5367	235
958	5371	229
959	5376	224
960	5380	218
961	5385	212
962	5390	207
963	5394	201
964	5399	195
965	5407	190
966	5412	184
967	5422	179
968	5426	173
969	5437	168
970	5441	162
971	5445	156
972	5450	151
973	5455	145
974	5459	139
975	5464	134
976	5482	129
977	5487	123
978	5491	117
979	5496	112
980	5500	106
981	5505	100
982	5509	95
983	5529	89
984	5534	84
985	5539	78
986	5543	73
987	5548	67
988	5553	61
989	5557	56
990	5561	50
991	5566	44
992	5571	39
993	5575	33
994	5580	28
995	5584	22
996	5589	16
997	5593	11
998	5605	5
999	5610	0
